Date,Ticker,Stock_qty,Stock_buy_price,Stock_close_price,Option_strike,Option_expiry,Option_qty,Option_sell_price,Option_ask_price,Stock_unrealized,Option_unrealized,Total_unrealized,Stock_realized,Option_realized,Total_realized
2025-09-02,AAPL,236,227.92,229.72,235.0,2025-09-05,-200.0,0.63,0.65,424.8,-4.0,420.8,0,0,0
2025-09-03,AAPL,236,227.92,238.47,235.0,2025-09-05,-200,0.63,4.35,2489.8,-744.0,1745.8,0,0,0
2025-09-04,AAPL,236,227.92,239.78,235.0,2025-09-05,-200,0.63,5.1,2798.96,-894.0,1904.96,0,0,0
2025-09-05,AAPL,0,0,239.69,235.0,2025-09-05,0,0,0,0,0,0,1670.88,126.0,1796.88
2025-09-08,AAPL,234.0,239.3,237.88,245.0,2025-09-12,-200.0,0.57,0.59,-332.28,-4.0,-336.28,0,0,0
2025-09-09,AAPL,234,239.3,234.35,245.0,2025-09-12,-200,0.57,0.16,-1158.3,82.0,-1076.3,0,0,0
2025-09-10,AAPL,234,239.3,226.79,245.0,2025-09-12,-200,0.57,0.05,-2927.34,104.0,-2823.34,0,0,0
2025-09-11,AAPL,234,239.3,230.03,245.0,2025-09-12,-200,0.57,0.02,-2169.18,110.0,-2059.18,0,0,0
2025-09-12,AAPL,234,239.3,234.07,245.0,2025-09-12,0,0,0,-1223.82,0,-1223.82,0,114.0,114.0
2025-09-15,AAPL,234,239.3,236.7,242.5,2025-09-19,-200.0,0.63,0.64,-608.4,-2.0,-610.4,0,0,0
2025-09-16,AAPL,234,239.3,238.15,242.5,2025-09-19,-200,0.63,0.83,-269.1,-40.0,-309.1,0,0,0
2025-09-17,AAPL,234,239.3,238.99,242.5,2025-09-19,-200,0.63,0.64,-72.54,-2.0,-74.54,0,0,0
2025-09-18,AAPL,234,239.3,237.88,242.5,2025-09-19,-200,0.63,0.18,-332.28,90.0,-242.28,0,0,0
2025-09-19,AAPL,0,0,245.5,242.5,2025-09-19,0,0,0,0,0,0,748.8,126.0,874.8
2025-09-22,AAPL,230.0,248.34,256.08,265.0,2025-09-26,-200.0,0.58,0.59,1780.2,-2.0,1778.2,0,0,0
2025-09-23,AAPL,230,248.34,254.43,265.0,2025-09-26,-200,0.58,0.19,1400.7,78.0,1478.7,0,0,0
2025-09-24,AAPL,230,248.34,252.31,265.0,2025-09-26,-200,0.58,0.06,913.1,104.0,1017.1,0,0,0
2025-09-25,AAPL,230,248.34,256.87,265.0,2025-09-26,-200,0.58,0.08,1961.9,100.0,2061.9,0,0,0
2025-09-26,AAPL,230,248.34,255.46,265.0,2025-09-26,0,0,0,1637.6,0,1637.6,0,116.0,116.0
2025-09-29,AAPL,230,248.34,254.43,262.5,2025-10-03,-200.0,0.36,0.37,1400.7,-2.0,1398.7,0,0,0
2025-09-30,AAPL,230,248.34,254.63,262.5,2025-10-03,-200,0.36,0.22,1446.7,28.0,1474.7,0,0,0
2025-10-01,AAPL,230,248.34,255.45,262.5,2025-10-03,-200,0.36,0.22,1635.3,28.0,1663.3,0,0,0
2025-10-02,AAPL,230,248.34,257.13,262.5,2025-10-03,-200,0.36,0.13,2021.7,46.0,2067.7,0,0,0
2025-10-03,AAPL,230,248.34,258.02,262.5,2025-10-03,0,0,0,2226.4,0,2226.4,0,72.0,72.0
2025-10-06,AAPL,230,248.34,256.69,265.0,2025-10-10,-200.0,0.46,0.48,1920.5,-4.0,1916.5,0,0,0
2025-10-07,AAPL,230,248.34,256.48,265.0,2025-10-10,-200,0.46,0.21,1872.2,50.0,1922.2,0,0,0
2025-10-08,AAPL,230,248.34,258.06,265.0,2025-10-10,-200,0.46,0.17,2235.6,58.0,2293.6,0,0,0
2025-10-09,AAPL,230,248.34,254.04,265.0,2025-10-10,-200,0.46,0.04,1311.0,84.0,1395.0,0,0,0
2025-10-10,AAPL,230,248.34,245.27,265.0,2025-10-10,0,0,0,-706.1,0,-706.1,0,92.0,92.0
2025-10-13,AAPL,230,248.34,247.66,255.0,2025-10-17,-200.0,0.55,0.56,-156.4,-2.0,-158.4,0,0,0
2025-10-14,AAPL,230,248.34,247.77,255.0,2025-10-17,-200,0.55,0.45,-131.1,20.0,-111.1,0,0,0
2025-10-15,AAPL,230,248.34,249.34,255.0,2025-10-17,-200,0.55,0.36,230.0,38.0,268.0,0,0,0
2025-10-16,AAPL,230,248.34,247.45,255.0,2025-10-17,-200,0.55,0.06,-204.7,98.0,-106.7,0,0,0
2025-10-17,AAPL,230,248.34,252.29,255.0,2025-10-17,0,0,0,908.5,0,908.5,0,110.0,110.0
2025-10-20,AAPL,230,248.34,262.24,270.0,2025-10-24,-200.0,0.71,0.73,3197.0,-4.0,3193.0,0,0,0
2025-10-21,AAPL,230,248.34,262.77,270.0,2025-10-24,-200,0.71,0.45,3318.9,52.0,3370.9,0,0,0
2025-10-22,AAPL,230,248.34,258.45,270.0,2025-10-24,-200,0.71,0.08,2325.3,126.0,2451.3,0,0,0
2025-10-23,AAPL,230,248.34,259.58,270.0,2025-10-24,-200,0.71,0.02,2585.2,138.0,2723.2,0,0,0
2025-10-24,AAPL,230,248.34,262.82,270.0,2025-10-24,0,0,0,3330.4,0,3330.4,0,142.0,142.0
2025-10-27,AAPL,230,248.34,268.81,282.5,2025-10-31,-200.0,1.07,1.09,4708.1,-4.0,4704.1,0,0,0
2025-10-28,AAPL,230,248.34,269.0,282.5,2025-10-31,-200,1.07,0.92,4751.8,30.0,4781.8,0,0,0
2025-10-29,AAPL,230,248.34,269.7,282.5,2025-10-31,-200,1.07,1.13,4912.8,-12.0,4900.8,0,0,0
2025-10-30,AAPL,230,248.34,271.4,282.5,2025-10-31,-200,1.07,0.87,5303.8,40.0,5343.8,0,0,0
2025-10-31,AAPL,230,248.34,270.37,282.5,2025-10-31,0,0,0,5066.9,0,5066.9,0,214.0,214.0
2025-11-03,AAPL,230,248.34,269.05,277.5,2025-11-07,-200.0,0.41,0.43,4763.3,-4.0,4759.3,0,0,0
2025-11-04,AAPL,230,248.34,270.04,277.5,2025-11-07,-200,0.41,0.46,4991.0,-10.0,4981.0,0,0,0
2025-11-05,AAPL,230,248.34,270.14,277.5,2025-11-07,-200,0.41,0.21,5014.0,40.0,5054.0,0,0,0
2025-11-06,AAPL,230,248.34,269.77,277.5,2025-11-07,-200,0.41,0.06,4928.9,70.0,4998.9,0,0,0
2025-11-07,AAPL,230,248.34,268.47,277.5,2025-11-07,0,0,0,4629.9,0,4629.9,0,82.0,82.0
2025-11-10,AAPL,230,248.34,269.43,277.5,2025-11-14,-200.0,0.35,0.37,4850.7,-4.0,4846.7,0,0,0
2025-11-11,AAPL,230,248.34,275.25,277.5,2025-11-14,-200,0.35,1.4,6189.3,-210.0,5979.3,0,0,0
2025-11-12,AAPL,230,248.34,273.47,277.5,2025-11-14,-200,0.35,0.54,5779.9,-38.0,5741.9,0,0,0
2025-11-13,AAPL,230,248.34,272.95,277.5,2025-11-14,-200,0.35,0.18,5660.3,34.0,5694.3,0,0,0
2025-11-14,AAPL,230,248.34,272.41,277.5,2025-11-14,0,0,0,5536.1,0,5536.1,0,70.0,70.0
2025-11-17,AAPL,230,248.34,267.46,277.5,2025-11-21,-200.0,0.28,0.3,4397.6,-4.0,4393.6,0,0,0
2025-11-18,AAPL,230,248.34,267.44,277.5,2025-11-21,-200,0.28,0.24,4393.0,8.0,4401.0,0,0,0
2025-11-19,AAPL,230,248.34,268.56,277.5,2025-11-21,-200,0.28,0.2,4650.6,16.0,4666.6,0,0,0
2025-11-20,AAPL,230,248.34,266.25,277.5,2025-11-21,-200,0.28,0.03,4119.3,50.0,4169.3,0,0,0
2025-11-21,AAPL,230,248.34,271.49,277.5,2025-11-21,0,0,0,5324.5,0,5324.5,0,56.0,56.0
2025-11-24,AAPL,230,248.34,275.92,282.5,2025-11-28,-200.0,0.31,0.29,6343.4,4.0,6347.4,0,0,0
2025-11-25,AAPL,230,248.34,276.97,282.5,2025-11-28,-200,0.31,0.22,6584.9,18.0,6602.9,0,0,0
2025-11-26,AAPL,230,248.34,277.55,282.5,2025-11-28,-200,0.31,0.06,6718.3,50.0,6768.3,0,0,0
